lecture_id,feature_id,name,description,
1,3D2_01_01,1강 빈칸 (첫 두),1강 빈칸 (첫 두),
2,3D2_02_01,2강 빈칸 (첫 두),2강 빈칸 (첫 두),
3,3D2_03_01,3강 빈칸 (중후반),3강 빈칸 (중후반),
4,3D2_04_01,4강 빈칸 (중후반),4강 빈칸 (중후반),
5,3D2_05_01,5강 빈칸 (마지막),5강 빈칸 (마지막),
6,3D2_06_01,6강 빈칸 (마지막),6강 빈칸 (마지막),
7,3D2_07_01,7강 빈칸 (한 단어),7강 빈칸 (한 단어),
8,3D2_08_01,8강 빈칸 (한 단어),8강 빈칸 (한 단어),
9,3D2_09_01,9강 순서,9강 순서,
10,3D2_10_01,10강 순서,10강 순서,
11,3D2_11_01,11강 순서,11강 순서,
12,3D2_12_01,12강 순서,12강 순서,
13,3D2_13_01,13강 삽입,13강 삽입,
14,3D2_14_01,14강 삽입,14강 삽입,
15,3D2_15_01,15강 삽입,15강 삽입,
16,3D2_16_01,16강 삽입,16강 삽입,